0.000,0.240,0.950,1.000,0.800,1.100,1.200,1.500,1.700,1.800,1.000,1.600,1.100,0.550,0.500,1.700,1.900,1.400,2.200,1.800
0.240,0.000,0.700,0.750,0.550,0.850,1.000,1.300,1.500,1.600,0.850,1.400,0.900,0.300,0.600,1.600,1.800,1.200,1.900,1.600
0.950,0.700,0.000,0.066,0.230,0.450,0.350,0.850,1.000,1.100,1.000,1.300,0.650,0.500,0.800,1.800,1.900,1.400,1.400,1.300
1.000,0.750,0.066,0.000,0.170,0.350,0.250,0.800,0.950,1.100,0.950,1.200,0.600,0.400,0.750,1.700,1.800,1.300,1.300,1.300
0.800,0.550,0.230,0.170,0.000,0.270,0.400,0.700,0.900,1.000,0.800,1.100,0.500,0.250,0.550,1.500,1.700,1.100,1.300,1.200
1.100,0.850,0.450,0.350,0.270,0.000,0.240,0.400,0.650,0.750,1.000,1.000,0.350,0.500,0.750,1.700,1.600,1.200,1.000,1.000
1.200,1.000,0.350,0.250,0.400,0.240,0.000,0.500,0.650,0.850,1.200,1.200,0.550,0.750,1.000,2.000,1.800,1.500,1.000,1.300
1.500,1.300,0.850,0.800,0.700,0.400,0.500,0.000,0.900,1.000,1.200,1.100,0.400,0.950,1.000,2.100,1.700,1.600,1.300,1.400
1.700,1.500,1.000,0.950,0.900,0.650,0.650,0.900,0.000,0.400,1.600,1.600,1.000,1.200,1.400,2.400,2.200,1.900,0.450,1.100
1.800,1.600,1.100,1.100,1.000,0.750,0.850,1.000,0.400,0.000,1.700,2.000,1.100,1.300,1.500,2.500,2.600,2.200,0.800,0.260
1.000,0.850,1.000,0.950,0.800,1.000,1.200,1.200,1.600,1.700,0.000,0.550,0.800,0.550,0.450,0.750,0.600,0.350,2.000,1.500
1.600,1.400,1.300,1.200,1.100,1.000,1.200,1.100,1.600,2.000,0.550,0.000,0.750,1.100,1.000,1.200,0.550,0.240,2.000,1.500
1.100,0.900,0.650,0.600,0.500,0.350,0.550,0.400,1.000,1.100,0.800,0.750,0.000,0.650,0.600,1.500,0.000,1.000,1.300,0.700
0.550,0.300,0.500,0.400,0.250,0.500,0.750,0.950,1.200,1.300,0.550,1.100,0.650,0.000,0.300,1.300,1.500,0.900,1.500,1.300
0.500,0.600,0.800,0.750,0.550,0.750,1.000,1.000,1.400,1.500,0.450,1.000,0.600,0.300,0.000,1.300,1.400,0.850,1.300,1.800
1.700,1.600,1.800,1.700,1.500,1.700,2.000,2.100,2.400,2.500,0.750,1.200,1.500,1.300,1.300,0.000,1.600,1.000,2.700,2.200
1.900,1.800,1.900,1.800,1.700,1.600,1.800,1.700,2.200,2.600,0.600,0.550,1.400,1.500,1.400,1.600,0.000,0.550,2.600,2.000
1.400,1.200,1.400,1.300,1.100,1.200,1.500,1.600,1.900,2.200,0.350,0.240,1.000,0.900,0.850,1.000,0.550,0.000,2.200,1.700
2.200,1.900,1.400,1.300,1.300,1.000,1.000,1.300,0.450,0.800,2.000,2.000,1.300,1.500,1.300,2.700,2.600,2.200,0.000,1.100
1.800,1.600,1.300,1.300,1.200,1.000,1.300,1.400,1.100,0.260,1.500,1.500,0.700,1.300,1.800,2.200,2.000,1.700,1.100,0.000
